"","Date","spotted.de","meckr.net","womenweb.de","kochrezepte.de","spontacts.com","autoinfo.de","hoccer.com","einfachlotto.de","yasni.de","tape.tv","merkando.de","make.tv","ferien.touristik.de","dailyme.de"
"108",141,307261,16924878,44232,67666,178898,390031,1249206,677388,11684,45330,775604,337934,2134899,849335
"109",146,307538,16903474,43633,67133,179292,393500,1264830,693753,11752,46226,772568,337730,2127261,846163
"110",151,312603,16868842,43061,66845,179831,394008,1260740,708273,11849,46654,786393,337205,2101314,861372
"111",157,313730,16832677,42600,66747,180509,385431,1240149,705548,11929,47513,784482,337587,2096680,859259
"112",163,310574,16797363,41765,66665,179299,381454,1235564,726250,12009,47655,782684,336217,2092096,880798
"113",169,315732,16682230,40775,65499,178920,372888,1219941,757848,12059,48738,775130,345276,2134987,950341
"114",175,310906,16692148,40129,65056,179241,369829,1217466,768491,12117,48621,772621,360253,2076735,909872
"115",6,301988,16674882,39888,64439,180558,366869,1214623,810500,12244,49675,776645,361974,2208489,888690
"116",24,295074,13385021,38863,64277,181111,360890,1799350,840066,12463,52455,804235,374412,2075210,902925
"117",36,297234,13346417,38764,66610,182465,349772,1790931,904607,12572,53538,908440,383932,2062657,948660
"118",42,306991,13337030,38855,67701,180777,351401,1787351,902789,12629,53374,1006239,382688,2014130,942022
"119",54,313187,13269036,38849,67994,181501,354984,1882081,921943,12809,54303,1061091,390378,2218509,971381
